text,source,sender,norm_text,category,clean_text,char_len,word_count,digit_ratio,exclaim_count,special_ratio,has_url,has_phone,currency_count,urgency_count,sensitive_info_count,refund_scam_count,label_id,is_synthetic
Can i meet ?_ at 5.. As 4 where depends on where ?_ wan 2 in lor..,LeadingIndiaAI_Short-Messages-Spam-Filtering-Combining-Personality-Recognition-and-Sentiment-Analysis_master_spam.csv,,can i meet ?_ at 5.. as 4 where depends on where ?_ wan 2 in lor..,PERSONAL,can i meet ?_ at 5.. as 4 where depends on where ?_ wan 2 in lor..,66.0,17.0,0.045454545454545456,0.0,0.12121212121212122,0.0,0.0,0.0,0.0,0.0,0.0,0,False
At what time are you coming.,Dataset_5971_real,,at what time are you coming.,PERSONAL,at what time are you coming.,28.0,6.0,0.0,0.0,0.03571428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0,False
"What do u reckon as need 2 arrange transport if u can't do it, thanks",Dataset_5971_real,,"what do u reckon as need 2 arrange transport if u can't do it, thanks",PERSONAL,"what do u reckon as need 2 arrange transport if u can't do it, thanks",69.0,15.0,0.014492753623188406,0.0,0.028985507246376812,0.0,0.0,0.0,0.0,0.0,0.0,0,False
"I'm looking for a new challenge in my career. Do you have any open positions that match my skills and experience? mentions the keyword ""open positions"", which refers to job vacancies that are currently available. The message is not a spam because it is a legitimate inquiry about job opportunities that match the person's skills and experience.",BubbleJoe_bootstrap_sms_v2_default_train.parquet,,"i'm looking for a new challenge in my career. do you have any open positions that match my skills and experience? mentions the keyword ""open positions"", which refers to job vacancies that are currently available. the message is not a spam because it is a legitimate inquiry about job opportunities that match the person's skills and experience.",TRANSACTIONAL,"i'm looking for a new challenge in my career. do you have any open positions that match my skills and experience? mentions the keyword ""open positions"", which refers to job vacancies that are currently available. the message is not a spam because it is a legitimate inquiry about job opportunities that match the person's skills and experience.",344.0,57.0,0.0,0.0,0.02616279069767442,0.0,0.0,1.0,0.0,0.0,0.0,1,False
"Congratulations, your cv was reviewed and you have been shortlisted. Please complete the job application by dialling 120 *22446#",Dataset_5971_real,,"congratulations, your cv was reviewed and you have been shortlisted. please complete the job application by dialling 120 *22446#",PERSONAL,"congratulations, your cv was reviewed and you have been shortlisted. please complete the job application by dialling 120 *22446#",128.0,19.0,0.0625,0.0,0.03125,0.0,0.0,0.0,0.0,0.0,0.0,0,False
"Hi there, I'm reaching out to you today to share some exciting news! Our team has been working hard on a new product and we're thrilled to announce that it's now available for purchase. If you're interested, please visit our website to learn more and place your order. Thank you for considering our offering! mention the keyword ""purchase"" because the sender is encouraging the recipient to buy the new product. This is not necessarily a spam message, as the sender is being transparent about the purpose of the message and providing an option for the recipient to make an informed decision. However, it is important for the recipient to do their own research and consider the value and legitimacy of the product before making a purchase.",BubbleJoe_bootstrap_sms_v2_default_train.parquet,,"hi there, i'm reaching out to you today to share some exciting news! our team has been working hard on a new product and we're thrilled to announce that it's now available for purchase. if you're interested, please visit our website to learn more and place your order. thank you for considering our offering! mention the keyword ""purchase"" because the sender is encouraging the recipient to buy the new product. this is not necessarily a spam message, as the sender is being transparent about the purpose of the message and providing an option for the recipient to make an informed decision. however, it is important for the recipient to do their own research and consider the value and legitimacy of the product before making a purchase.",PROMOTIONAL,"hi there, i'm reaching out to you today to share some exciting news! our team has been working hard on a new product and we're thrilled to announce that it's now available for purchase. if you're interested, please visit our website to learn more and place your order. thank you for considering our offering! mention the keyword ""purchase"" because the sender is encouraging the recipient to buy the new product. this is not necessarily a spam message, as the sender is being transparent about the purpose of the message and providing an option for the recipient to make an informed decision. however, it is important for the recipient to do their own research and consider the value and legitimacy of the product before making a purchase.",738.0,126.0,0.0,2.0,0.023035230352303523,0.0,0.0,0.0,0.0,0.0,0.0,2,False
There is no indication in the message that it is a spam message. The message appears to be a personal and concerned communication from one person to another.,BubbleJoe_bootstrap_sms_v2_default_train.parquet,,there is no indication in the message that it is a spam message. the message appears to be a personal and concerned communication from one person to another.,TRANSACTIONAL,there is no indication in the message that it is a spam message. the message appears to be a personal and concerned communication from one person to another.,157.0,28.0,0.0,0.0,0.012738853503184714,0.0,0.0,1.0,0.0,0.0,0.0,1,False
"Tip: Did you know that you can save up to 50% on your energy bills by switching to LED bulbs? Try it out! mention the keyword ""Tip"" because it is giving an advice or suggestion. The message is not a spam as it is not trying to sell a product or service, but rather providing information that could potentially help the recipient save money.",BubbleJoe_bootstrap_sms_v2_default_train.parquet,,"tip: did you know that you can save up to 50% on your energy bills by switching to led bulbs? try it out! mention the keyword ""tip"" because it is giving an advice or suggestion. the message is not a spam as it is not trying to sell a product or service, but rather providing information that could potentially help the recipient save money.",TRANSACTIONAL,"tip: did you know that you can save up to 50% on your energy bills by switching to led bulbs? try it out! mention the keyword ""tip"" because it is giving an advice or suggestion. the message is not a spam as it is not trying to sell a product or service, but rather providing information that could potentially help the recipient save money.",340.0,64.0,0.0058823529411764705,1.0,0.026470588235294117,0.0,0.0,0.0,0.0,0.0,0.0,1,False
I canåÕt wait for cornwall. Hope tonight isnåÕt too bad as well but itåÕs rock night shite. Anyway iåÕm going for a kip now have a good night. Speak to you soon.,BleeGleeWee_Spam-SMS-Detection_main_spam.csv,,i canåõt wait for cornwall. hope tonight isnåõt too bad as well but itåõs rock night shite. anyway iåõm going for a kip now have a good night. speak to you soon.,PERSONAL,i canåõt wait for cornwall. hope tonight isnåõt too bad as well but itåõs rock night shite. anyway iåõm going for a kip now have a good night. speak to you soon.,161.0,32.0,0.0,0.0,0.024844720496894408,0.0,0.0,0.0,0.0,0.0,0.0,0,False
"Thanx. Yup we coming back on sun. Finish dinner going back 2 hotel now. Time flies, we're tog 4 exactly a mth today. Hope we'll haf many more mths to come...",Dataset_5971_real,,"thanx. yup we coming back on sun. finish dinner going back 2 hotel now. time flies, we're tog 4 exactly a mth today. hope we'll haf many more mths to come...",PERSONAL,"thanx. yup we coming back on sun. finish dinner going back 2 hotel now. time flies, we're tog 4 exactly a mth today. hope we'll haf many more mths to come...",157.0,31.0,0.012738853503184714,0.0,0.06369426751592357,0.0,0.0,0.0,0.0,0.0,0.0,0,False
Ok good then i later come find ?_... C lucky i told ?_ to go earlier... Later pple take finish ?_ no more again...,LeadingIndiaAI_Short-Messages-Spam-Filtering-Combining-Personality-Recognition-and-Sentiment-Analysis_master_spam.csv,,ok good then i later come find ?_... c lucky i told ?_ to go earlier... later pple take finish ?_ no more again...,PERSONAL,ok good then i later come find ?_... c lucky i told ?_ to go earlier... later pple take finish ?_ no more again...,114.0,24.0,0.0,0.0,0.13157894736842105,0.0,0.0,0.0,0.0,0.0,0.0,0,False
"I'm sorry for the late response, I've been swamped with work lately. How about we reschedule our meeting for next week? mention the keyword ""reschedule"" because it refers to the act of changing the date or time of a previously scheduled event. The message is not a spam as it is a legitimate communication related to a scheduled event.",BubbleJoe_bootstrap_sms_v2_default_train.parquet,,"i'm sorry for the late response, i've been swamped with work lately. how about we reschedule our meeting for next week? mention the keyword ""reschedule"" because it refers to the act of changing the date or time of a previously scheduled event. the message is not a spam as it is a legitimate communication related to a scheduled event.",TRANSACTIONAL,"i'm sorry for the late response, i've been swamped with work lately. how about we reschedule our meeting for next week? mention the keyword ""reschedule"" because it refers to the act of changing the date or time of a previously scheduled event. the message is not a spam as it is a legitimate communication related to a scheduled event.",335.0,59.0,0.0,0.0,0.026865671641791045,0.0,0.0,1.0,0.0,0.0,0.0,1,False
"Hi <REAL NAME>, SBET invites you to join Wagering Tournament !

Win a YAMAHA NMAX ABS 2022 or LOUIS VUITTON & more ! 

join now sbetwinph.com",drvii_data-analysis-spam-sms-ph_main_dataset.csv,,"hi <real name>, sbet invites you to join wagering tournament ! win a yamaha nmax abs 2022 or louis vuitton & more ! join now sbetwinph.com",PERSONAL,"hi <real name>, sbet invites you to join wagering tournament ! win a yamaha nmax abs 2022 or louis vuitton & more ! join now sbetwinph com",141.0,27.0,0.028368794326241134,2.0,0.04964539007092199,1.0,0.0,0.0,0.0,0.0,0.0,0,False
Natalie (20/F) is inviting you to be her friend. Reply YES-165 or NO-165 See her: www.SMS.ac/u/natalie2k9 STOP? Send STOP FRND to 62468,alexander-fischer_lstm-kaggle-sms-spam-example_master_spam.csv,,natalie (20/f) is inviting you to be her friend. reply yes-165 or no-165 see her: www.sms.ac/u/natalie2k9 stop? send stop frnd to 62468,PERSONAL,natalie (20/f) is inviting you to be her friend. reply yes-165 or no-165 see her: sms ac u natalie2k9 stop? send stop frnd to 62468,135.0,25.0,0.1111111111111111,0.0,0.08888888888888889,1.0,0.0,0.0,0.0,0.0,0.0,0,False
"I've been thinking about you a lot lately. Your smile is the only thing that keeps me going. mention the keyword ""lately"" because the sender is implying that their thoughts have been frequent. This is a common expression in personal messages and does not necessarily indicate spam.",BubbleJoe_bootstrap_sms_v2_default_train.parquet,,"i've been thinking about you a lot lately. your smile is the only thing that keeps me going. mention the keyword ""lately"" because the sender is implying that their thoughts have been frequent. this is a common expression in personal messages and does not necessarily indicate spam.",TRANSACTIONAL,"i've been thinking about you a lot lately. your smile is the only thing that keeps me going. mention the keyword ""lately"" because the sender is implying that their thoughts have been frequent. this is a common expression in personal messages and does not necessarily indicate spam.",281.0,47.0,0.0,0.0,0.02491103202846975,0.0,0.0,0.0,0.0,0.0,0.0,1,False
"Your free ringtone is waiting to be collected. Simply text the password MIX to 85069 to verify. Get Usher and Britney. FML, PO Box 5249, MK17 92H. 450Ppw 16",vsak_sms_spam_category_default_train.parquet,,"your free ringtone is waiting to be collected. simply text the password mix to 85069 to verify. get usher and britney. fml, po box 5249, mk17 92h. 450ppw 16",PROMOTIONAL,"your free ringtone is waiting to be collected. simply text the password mix to 85069 to verify. get usher and britney. fml, po box 5249, mk17 92h. 450ppw 16",156.0,29.0,0.11538461538461539,0.0,0.038461538461538464,0.0,0.0,0.0,0.0,0.0,0.0,2,False
Join the UK's horniest Dogging service and u can have sex 2nite . Just sign up and follow the instructions. Txt ENTRY to 69888 now Nyt.EC2A.3LP.msg 150p,vsak_sms_spam_category_default_train.parquet,,join the uk's horniest dogging service and u can have sex 2nite . just sign up and follow the instructions. txt entry to 69888 now nyt.ec2a.3lp.msg 150p,PERSONAL,join the uk's horniest dogging service and u can have sex 2nite . just sign up and follow the instructions. txt entry to 69888 now nyt ec2a 3lp msg 150p,152.0,30.0,0.07236842105263158,0.0,0.039473684210526314,1.0,0.0,0.0,0.0,0.0,0.0,0,False
"It's your turn to SPIN & WIN
Assured rewards on Tata CLiQ Fashion
Hurry! Ends at midnight
https://1kx.in/MYCLIQ/UMDN57IKTdS",user_sms_data,JK-MYCLIQ-P,it's your turn to spin & win assured rewards on tata cliq fashion hurry! ends at midnight https://1kx.in/mycliq/umdn57iktds,PROMOTIONAL,it's your turn to spin & win assured rewards on tata cliq fashion hurry! ends at midnight 1kx in mycliq umdn57iktds,123.0,21.0,0.024390243902439025,1.0,0.07317073170731707,1.0,0.0,0.0,0.0,0.0,0.0,2,False
Are you comingdown later?,Dataset_5971_real,,are you comingdown later?,PERSONAL,are you comingdown later?,25.0,4.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0,False
You should know now. So how's anthony. Are you bringing money. I've school fees to pay and rent and stuff like that. Thats why i need your help. A friend in need....|,Dataset_5971_real,,you should know now. so how's anthony. are you bringing money. i've school fees to pay and rent and stuff like that. thats why i need your help. a friend in need....|,PERSONAL,you should know now. so how's anthony. are you bringing money. i've school fees to pay and rent and stuff like that. thats why i need your help. a friend in need....|,166.0,32.0,0.0,0.0,0.07228915662650602,0.0,0.0,0.0,0.0,0.0,0.0,0,False
"The offer is valid only for a limited time. Don't miss out on this opportunity to save big on our latest products! mention the keyword ""save big"" because it is emphasizing the potential financial benefit of taking action. This is a common tactic used in both spam and legitimate messages to entice people to click on a link or respond to the message. However, it is important to note that not all messages that promise to help people save money are spam. Many legitimate businesses use this tactic to promote their products or services and offer discounts or promotions to customers.",BubbleJoe_bootstrap_sms_v2_default_train.parquet,,"the offer is valid only for a limited time. don't miss out on this opportunity to save big on our latest products! mention the keyword ""save big"" because it is emphasizing the potential financial benefit of taking action. this is a common tactic used in both spam and legitimate messages to entice people to click on a link or respond to the message. however, it is important to note that not all messages that promise to help people save money are spam. many legitimate businesses use this tactic to promote their products or services and offer discounts or promotions to customers.",PROMOTIONAL,"the offer is valid only for a limited time. don't miss out on this opportunity to save big on our latest products! mention the keyword ""save big"" because it is emphasizing the potential financial benefit of taking action. this is a common tactic used in both spam and legitimate messages to entice people to click on a link or respond to the message. however, it is important to note that not all messages that promise to help people save money are spam. many legitimate businesses use this tactic to promote their products or services and offer discounts or promotions to customers.",583.0,101.0,0.0,1.0,0.017152658662092625,0.0,0.0,1.0,0.0,0.0,0.0,2,False
"Hi, I'm sorry to bother you but I came across your profile and I'm really impressed by your work. I'd love to collaborate with you on a project. Let me know if you're interested. mention the keyword ""profile"" because the sender is referring to the recipient's online presence, likely on a social media platform or professional networking site. This keyword is not necessarily indicative of spam, as the sender may be genuinely interested in collaborating with the recipient.",BubbleJoe_bootstrap_sms_v2_default_train.parquet,,"hi, i'm sorry to bother you but i came across your profile and i'm really impressed by your work. i'd love to collaborate with you on a project. let me know if you're interested. mention the keyword ""profile"" because the sender is referring to the recipient's online presence, likely on a social media platform or professional networking site. this keyword is not necessarily indicative of spam, as the sender may be genuinely interested in collaborating with the recipient.",PERSONAL,"hi, i'm sorry to bother you but i came across your profile and i'm really impressed by your work. i'd love to collaborate with you on a project. let me know if you're interested. mention the keyword ""profile"" because the sender is referring to the recipient's online presence, likely on a social media platform or professional networking site. this keyword is not necessarily indicative of spam, as the sender may be genuinely interested in collaborating with the recipient.",474.0,78.0,0.0,0.0,0.03164556962025317,0.0,0.0,0.0,0.0,0.0,0.0,0,False
And miss vday the parachute and double coins??? U must not know me very well...,Dataset_5971_real,,and miss vday the parachute and double coins??? u must not know me very well...,PERSONAL,and miss vday the parachute and double coins??? u must not know me very well...,79.0,15.0,0.0,0.0,0.0759493670886076,0.0,0.0,0.0,0.0,0.0,0.0,0,False
"I'm really looking forward to our vacation next month. We've been planning it for a long time and I can't wait to relax and enjoy some time off. mention the keyword ""planning"" because the sender is discussing the preparations and arrangements they have made for the vacation. This keyword is not a spam indicator as it is a normal part of the planning process for any trip or event.",BubbleJoe_bootstrap_sms_v2_default_train.parquet,,"i'm really looking forward to our vacation next month. we've been planning it for a long time and i can't wait to relax and enjoy some time off. mention the keyword ""planning"" because the sender is discussing the preparations and arrangements they have made for the vacation. this keyword is not a spam indicator as it is a normal part of the planning process for any trip or event.",PERSONAL,"i'm really looking forward to our vacation next month. we've been planning it for a long time and i can't wait to relax and enjoy some time off. mention the keyword ""planning"" because the sender is discussing the preparations and arrangements they have made for the vacation. this keyword is not a spam indicator as it is a normal part of the planning process for any trip or event.",382.0,69.0,0.0,0.0,0.02356020942408377,0.0,0.0,0.0,0.0,0.0,0.0,0,False
"Alert!! Non-payment of Pay Later dues will negatively impact your CIBIL score. Pay dues of Rs.2,496 here https://u.axio.ac/axo/mHdxfCrARWHorVM -axio",user_sms_data,CP-axioFS-S,"alert!! non-payment of pay later dues will negatively impact your cibil score. pay dues of rs.2,496 here https://u.axio.ac/axo/mhdxfcrarwhorvm -axio",TRANSACTIONAL,"alert!! non-payment of pay later dues will negatively impact your cibil score. pay dues of rs.2,496 here u axio ac axo mhdxfcrarwhorvm -axio",148.0,23.0,0.02702702702702703,2.0,0.0945945945945946,1.0,0.0,1.0,0.0,0.0,0.0,1,False
Dont know you bring some food,Dataset_5971_real,,dont know you bring some food,PERSONAL,dont know you bring some food,29.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,False
Your Amazon order #12345 has shipped. Expected delivery: 2-4 business days. Track it here: https://www.amazon.com/gp/aws/orders/INC_ORDER_12345 mention ``track it here'' and a link because it is providing the recipient with a way to track the status of their order. This is a normal and expected keyword in a message related to an order.,BubbleJoe_bootstrap_sms_v2_default_train.parquet,,your amazon order #12345 has shipped. expected delivery: 2-4 business days. track it here: https://www.amazon.com/gp/aws/orders/inc_order_12345 mention ``track it here'' and a link because it is providing the recipient with a way to track the status of their order. this is a normal and expected keyword in a message related to an order.,TRANSACTIONAL,your amazon order #12345 has shipped. expected delivery: 2-4 business days. track it here: amazon com gp aws orders inc order 12345 mention ``track it here'' and a link because it is providing the recipient with a way to track the status of their order. this is a normal and expected keyword in a message related to an order.,337.0,59.0,0.03560830860534125,0.0,0.06824925816023739,1.0,0.0,0.0,0.0,0.0,0.0,1,False
"Overall, the message does not contain any red flags that would indicate it is a spam message. It is a recruitment message, which is a common type of ham message.",BubbleJoe_bootstrap_sms_v2_default_train.parquet,,"overall, the message does not contain any red flags that would indicate it is a spam message. it is a recruitment message, which is a common type of ham message.",PERSONAL,"overall, the message does not contain any red flags that would indicate it is a spam message. it is a recruitment message, which is a common type of ham message.",161.0,30.0,0.0,0.0,0.024844720496894408,0.0,0.0,0.0,0.0,0.0,0.0,0,False
"Night sweet, sleep well! I've just been to see The Exorcism of Emily Rose and may never sleep again! Hugs and snogs!",Dataset_5971_real,,"night sweet, sleep well! i've just been to see the exorcism of emily rose and may never sleep again! hugs and snogs!",PERSONAL,"night sweet, sleep well! i've just been to see the exorcism of emily rose and may never sleep again! hugs and snogs!",116.0,22.0,0.0,3.0,0.04310344827586207,0.0,0.0,0.0,0.0,0.0,0.0,0,False
"Hey, I'm new to this platform. I'm really excited to be here and connect with like-minded individuals. I'd love to hear about your experiences and learn from you. mention keyword ""really excited"" because the sender is expressing their enthusiasm about joining the platform and connecting with other users. This keyword does not indicate spam or ham as it is a common expression of excitement or eagerness.",BubbleJoe_bootstrap_sms_v2_default_train.parquet,,"hey, i'm new to this platform. i'm really excited to be here and connect with like-minded individuals. i'd love to hear about your experiences and learn from you. mention keyword ""really excited"" because the sender is expressing their enthusiasm about joining the platform and connecting with other users. this keyword does not indicate spam or ham as it is a common expression of excitement or eagerness.",TRANSACTIONAL,"hey, i'm new to this platform. i'm really excited to be here and connect with like-minded individuals. i'd love to hear about your experiences and learn from you. mention keyword ""really excited"" because the sender is expressing their enthusiasm about joining the platform and connecting with other users. this keyword does not indicate spam or ham as it is a common expression of excitement or eagerness.",405.0,66.0,0.0,0.0,0.02962962962962963,0.0,0.0,1.0,0.0,0.0,0.0,1,False
He also knows about lunch menu only da. . I know,Dataset_5971_real,,he also knows about lunch menu only da. . i know,PERSONAL,he also knows about lunch menu only da. . i know,48.0,11.0,0.0,0.0,0.041666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0,False
"Im cool ta luv but v.tired 2 cause i have been doin loads of planning all wk, we have got our social services inspection at the nursery! Take care & spk sn x.",Dataset_5971_real,,"im cool ta luv but v.tired 2 cause i have been doin loads of planning all wk, we have got our social services inspection at the nursery! take care & spk sn x.",TRANSACTIONAL,"im cool ta luv but v tired 2 cause i have been doin loads of planning all wk, we have got our social services inspection at the nursery! take care & spk sn x.",159.0,34.0,0.006289308176100629,1.0,0.03773584905660377,1.0,0.0,0.0,0.0,0.0,0.0,1,False
Someone U know has asked our dating service 2 contact you Cant Guess who CALL 09058091854 NOW all will be revealed. PO BOX385 M6 6WU,vsak_sms_spam_category_default_train.parquet,,someone u know has asked our dating service 2 contact you cant guess who call 09058091854 now all will be revealed. po box385 m6 6wu,PERSONAL,someone u know has asked our dating service 2 contact you cant guess who call phonenumber now all will be revealed. po box385 m6 6wu,132.0,25.0,0.12878787878787878,0.0,0.007575757575757576,0.0,1.0,0.0,0.0,0.0,0.0,0,False
"Thanks again for your reply today. When is ur visa coming in. And r u still buying the gucci and bags. My sister things are not easy, uncle john also has his own bills so i really need to think about how to make my own money. Later sha.",Dataset_5971_real,,"thanks again for your reply today. when is ur visa coming in. and r u still buying the gucci and bags. my sister things are not easy, uncle john also has his own bills so i really need to think about how to make my own money. later sha.",TRANSACTIONAL,"thanks again for your reply today. when is ur visa coming in. and r u still buying the gucci and bags. my sister things are not easy, uncle john also has his own bills so i really need to think about how to make my own money. later sha.",236.0,49.0,0.0,0.0,0.025423728813559324,0.0,0.0,0.0,0.0,0.0,0.0,1,False
"I've been trying to learn Spanish for months now. I'm making progress but it's slow. Anyone have any tips? mention the keyword ""tips"" because the sender is asking for advice or recommendations from others. This keyword does not indicate whether the message is a spam or ham.",BubbleJoe_bootstrap_sms_v2_default_train.parquet,,"i've been trying to learn spanish for months now. i'm making progress but it's slow. anyone have any tips? mention the keyword ""tips"" because the sender is asking for advice or recommendations from others. this keyword does not indicate whether the message is a spam or ham.",TRANSACTIONAL,"i've been trying to learn spanish for months now. i'm making progress but it's slow. anyone have any tips? mention the keyword ""tips"" because the sender is asking for advice or recommendations from others. this keyword does not indicate whether the message is a spam or ham.",274.0,47.0,0.0,0.0,0.0364963503649635,0.0,0.0,1.0,0.0,0.0,0.0,1,False
Roger that. Weï¿½ï¿½ï¿½re probably going to rem in about 20,alexander-fischer_lstm-kaggle-sms-spam-example_master_spam.csv,,roger that. weï¿½ï¿½ï¿½re probably going to rem in about 20,PERSONAL,roger that. weï¿½ï¿½ï¿½re probably going to rem in about 20,59.0,10.0,0.03389830508474576,0.0,0.06779661016949153,0.0,0.0,0.0,0.0,0.0,0.0,0,False
Tmr then Ã¼ brin lar... Aiya later i come n c lar... Mayb Ã¼ neva set properly Ã¼ got da help sheet wif Ã¼...,ilyaskhan12Q_SpamFilter_main_spam.csv,,tmr then ã¼ brin lar... aiya later i come n c lar... mayb ã¼ neva set properly ã¼ got da help sheet wif ã¼...,PERSONAL,tmr then ã¼ brin lar... aiya later i come n c lar... mayb ã¼ neva set properly ã¼ got da help sheet wif ã¼...,109.0,24.0,0.0,0.0,0.08256880733944955,0.0,0.0,0.0,0.0,0.0,0.0,0,False
