"","masked_celphone_number","hashed_celphone_number","date","text","carrier"
15,"+63981****997","a5634d8e-cf19-395a-bb7e-492eb8d76038","2022-11-21 06:19:51.829","GCash. Bet... GCash. Bet! Get FREE P1,000,000 bonus for GCASHBET! Free link http://phbetpo.shop/rH8","Smart"
16,"+63969****200","6363fba0-da22-3eda-ad61-9c627cae5fcf","2022-11-21 08:13:26.520","Binabati kita! Mag-log in sa Lodi646 para makuha ang iyong lucky random bonus!   http://bet03.fan","Smart"
17,"+63981****942","018e2b22-aa2c-33dc-9657-bf50ada6db64","2022-11-22 02:23:42.571","This is your LucKy day! DAhil JB Day ngayon! Mag $pin at makakuha ng maraming PRIZES! Wag mag alinlangan siguradong bubuhos ng swerte! antiviruspedia.net/Live","Smart"
18,"+63909****956","73fc2ddf-2b67-366c-8da3-bdbdc22990d5","2022-11-22 05:34:23.618","Wag ng tumingin pa sa iba. Dahil ang hinahanap m0 at hinahanap ng iba ay nandit0 lang kay playbingo.com.ph/LegitAPP subukan m0 na walang mawawala sayo","TNT"
19,"+63948****763","b8b16765-3074-37cd-b855-2ff692b0ef2f","2022-11-22 15:36:02.923","DEAR VIP, <REAL NAME>, Experience the Best Cockfighting here in SBET. Join and Register now to gain up 88kPHP & 100 + Fighting bonuses, and got a chance to win worth million of cash! sbetcorkfight.com/SABONGNOW","TNT"
20,"+63948****084","2784c3d5-3c2e-3faf-ab9a-3ea8acc95633","2022-11-22 17:40:26.145","Hi <REAL NAME>,  Experience the highest-winning JILI SLOTS game now on Google APP! Redeem FREE PHP33 and win your Jackpot. Download now at w98club.com/PusoySabong  or search Winner Club at Play Store.

Redeem code : <8833>
(Please go to Deposit/BUY, then enter Redeem code.","TNT"
21,"+63946****379","0a190d3b-1156-34ea-b61e-0a987f86b8ef","2022-11-23 02:01:58.189","This is your LucKy day! DAhil JB Day ngayon! Mag $pin at makakuha ng maraming PRIZES! Wag mag alinlangan siguradong bubuhos ng swerte! barbadostelecom.com/Live","TNT"
22,"+63985****835","ef900132-889f-30f4-b1a3-8850ecdcadaf","2022-11-23 04:52:59.375","Go-Lucky ! Baraha prepare P1399 for you, today waiting for you.
UrL: card-c.life

Let's go  .","Smart/TNT"
23,"+63951****214","a200d689-653e-303a-bc71-f1283457d3a8","2022-11-23 13:46:43.820","O.  Thanks for your trust in Smart! you will have P1555 for slot , 
Web: will-s.life","Smart"
24,"+63949****945","5cd6a22b-fdd2-3e72-9bde-81b6019a8f0a","2022-11-24 11:19:54.787","Lazada: Good benefits, If you play in BARAHA, you will have 50% change get free Iphone14/XiaoMI/1999P.
web: baraha-k.site
Claim now !a","Smart"
25,"+63909****665","c08e666a-d264-3844-a6e0-abcc709b8fa3","2022-11-25 03:55:47.607","Kumusta Lodi! Nakapag register kana ba? Mag Register na kung hindi pa! And get your 120% Welcome B0NU$ FREEPLAY! Sali na! appraisalassociatesark.com/Join","TNT"
26,"+63951****475","e8a8513d-35db-3131-9b78-53038bb7a764","2022-11-25 17:55:00.033","y!  [Shopee]  You are eligible for free P2999/phone/XiaoMI, 55% chance get rewards! 
web: 11g.life","Smart"
27,"+63981****822","2b5cfa08-0300-3b88-b7e3-2fc2eaf0697a","2022-11-26 08:31:01.176","[Winner777] Free P300 daily login bonus, claim now. https://winner777.pro/sm","Smart"
28,"+63951****264","ea98e832-f0d3-3e0b-b12d-7700431e12d8","2022-11-26 14:53:16.804","V!  [Shopee] You are eligible for free P2999/IPHONE/XiaoMI, 55% chance get rewards! 
web: luckypha.live","Smart"
29,"+63960****744","9705db59-25b7-3477-9ac0-498d09ab9307","2022-11-27 05:26:18.209","Ang Smart ay nagiimbita para kunin ang inyong 1,888 bonus. Ito ay matatanggap sa inyOng Acc0unt. URL: ww3467.pw/3tZBIuD","Smart"
30,"+63960****001","cdc96f7e-a1ed-3679-92cb-fd11bc974ade","2022-11-27 05:45:55.505","Ang Smart ay nagiimbita para kunin ang inyong 1,888 bonus. Ito ay matatanggap sa inyOng Acc0unt. URL: ww3467.pw/3U9RA8v","Smart"
31,"+63985****578","21c681b0-bd37-3a18-9b10-6727e39333da","2022-11-28 01:43:25.980","z!  Last 3 days, play online BARA-HA, you will have 80% change get XiaoMI/8999P.
web: baraha-e.site
Claim now !","Smart/TNT"
32,"+63981****598","17bcfcb8-af92-379f-b42a-70d78221e0d5","2022-11-29 07:08:09.166","ESugal hindi na need pumunta CASlNO, pIay online at manalo araw araw, upto 8888 na welcome B0NUS.
Web: pinas-b.life","Smart"
33,"+63981****629","6b3ea243-a3bf-3173-909b-d01aad0dc5c0","2022-11-29 09:53:32.377","<REAL NAME>, You don't want to miss out our PLATFORM W+!! Get 68% Live Casino WELCOME BONUS UP TO PHP 6,888! PLAY NOW wpluswin.com/7777FIFA","Smart"
34,"+63981****848","cdb67fe2-5fd4-3894-a05c-0446ab1fc18f","2022-11-29 15:15:33.660","f!  Last 3 days, play online BARA-HA, you will have 80% change get XiaoMI/8999P.
web: panalot.live
Claim now !","Smart"
35,"+63985****223","d8eacdd3-7158-30ad-8cc3-24a1db17237d","2022-11-29 21:13:48.245","Hi <REAL NAME>! Be among the champions @ Online sabong & slot machine game! Register to acquire your 88kPHP & 100+ FREE Tokens here. 88ksabong.com/SABONGFIGHT","Smart/TNT"
36,"+63985****561","90faf034-4bde-3e46-bc40-25f73a9947c3","2022-12-02 10:20:49.168","yLast 3 days, play online BARA-HA,you will have 30% change get XiaoMI/8999P.
web: baraha-p.life","Smart/TNT"
37,"+63919****358","43828fc7-319d-3f35-bb15-f52fbf96a374","2022-12-03 05:52:28.561","A) An Exclusive and Prestigious Wack wack Neighborhood, where your wellness to us matters

Soon to Rise Shangrila Wack-wack
1 Bedroom - 85sqm
2 Bedroom - 145sqm
3 Bedroom - 231sqm

B) The Rise Makati Shangrila along Ayala Ave RFO w/P1.2M (19% disc.) 3 units left

www.shangrilasidences.com

Message now ","Smart"
38,"+63981****943","96d59617-adb7-3f68-bbb6-0af4d948e8b4","2022-12-03 14:47:48.152","Free P5,888 bonus for you!

18M+ Jackpot Prize!
Only 1 Peso to Play!!

Now is win! Good luck!!
http://phboom.com/Wtk","Smart"
39,"+63985****221","59ea0e9c-bea2-32aa-b2ef-dc791519c123","2022-12-04 12:44:30.082","d! True Baraha!To celebrate the World Cup ,we prepare more events and B0NUS  up to 88888!!!
web: pinasl.life","Smart/TNT"
40,"+63951****836","6cad53e1-0956-3d61-94e0-3a050553fdf8","2022-12-04 14:09:42.924","10,000 USDT for participating in the Experience Trading Sharing Contest!https://t.co/cyhM4iQRdg","Smart"
41,"+63985****851","3877f4df-102a-307c-8018-d5ffa5ad6887","2022-12-05 07:49:21.076","l! True Baraha!To celebrate the World Cup ,we prepare more events and B0NUS  up to 88888!!!
web: baraha-e.site","Smart/TNT"
42,"+63970****285","9ea603bd-39a8-33d0-a357-f1e761c0bb3b","2022-12-05 14:10:00.186","M0nday na! Bigyan natin ng suwerte ang araw mo ngayon! Dahil dito kay bartargame.com/Live may Daily B0nu$ at chance mo pa mag T0P 1! Pinipilahan ng lahat!","Smart"
43,"+63909****348","12fdefae-cdae-3916-8270-a462a5cfecba","2022-12-07 04:53:06.002","Sign up for the world Get 2022 World Cup benefits , receive 3000 free, withdrawals in seconds: http://pesc.pw/4nn27r","TNT"
44,"+63985****428","81fb13dc-b569-36b6-b0e1-6c7d643efcb7","2022-12-09 17:17:38.032","<REAL NAME>, Your lucky stars are shining tonight WP! Register now and claim your 100% WELCOME BONUS! up to Php. 5,000! Sign up now wfifacup.com/7777FIFA","Smart/TNT"
45,"+63960****346","7108a6de-e630-356d-aa38-4a999edb645a","2022-12-12 10:42:19.790","X! Last 2 days, Claim the card B0NUS up to 88888! Big events only for celebrate 2022 World Cup!
web: card-o.life","Smart"
46,"+63981****143","2df86750-4475-3483-8139-bc00094c79f2","2022-12-13 04:11:00.632","Withdrawal code: 831094. If this was not you, cancel here: https://cancel35202119-binance-com.web.app","Smart"
47,"+63969****385","d7a9a477-0823-3dbb-9a06-712f19e31cc7","2022-12-13 07:23:03.078","Bagong balita! Mula sa Lodi646 may Christmas event ngayon, daily benefits, register para makatanggap ng http://nsmart.pro","Smart"
48,"+63985****140","d75a38ad-e34f-3820-a48c-fc2c670254b0","2022-12-14 10:04:47.877","<REAL NAME> What's up winningplus members! Refer your friend and get your 400P daily! What are you waiting for? Message us now wplusplay.com/7777FIFA","Smart/TNT"
49,"+63960****450","8cdd1532-07b4-30d6-bd03-9e1d5bc07338","2022-12-15 07:18:45.169","v! Last 2 days, Claim the BARAHA B0NUS up to 88888! Big events only for celebrate 2022 World Cup!
web: pinasu.life","Smart"
50,"+63960****032","ca8ab55d-99ef-3741-9baf-d0e67097f990","2022-12-17 17:20:24.180","g.  Claim 66666P sIot B0NUS up to 66666! Celebrate the 2022 World Cup biggest events ,cheers for crazy win.
Web: manalor.site    ","Smart"
51,"+63985****966","1105510e-5e21-3f5d-b3d7-a2ba2950bb84","2022-12-18 08:06:26.950","1M+ Jackpot Prize? Only 1 Peso to Play! Login daily and get free Peso! Now is win: http://win777.rest/Yy5","Smart/TNT"
52,"+63909****425","9a18d439-5f2f-3a58-8fb3-062e14b21cef","2022-12-19 05:44:04.350","Happy Monday Lodi! Lunes na at 5 days nalang pasko na! Maraming handog na pamasko ang breakingnewsmanila.com/Game sayo! Ayain ang barkada at mag register na!","TNT"
53,"+63985****019","d872d575-c294-351a-9f97-6ef42eed460d","2022-12-19 14:44:44.264","<REAL NAME>, Have a Merry Christmas here at W+! there is a christmas raffle and you can win money up to 300k! and other prizes join now! wfifanow.com/7777FIFA","Smart/TNT"
54,"+63960****114","84b077d4-2749-356e-871c-d6e2dbdc32a4","2022-12-19 15:04:05.077","i.  Claim 66666P sIot B0NUS up to 66666! Celebrate the 2022 World Cup biggest events ,cheers for crazy win.
Web: pinas-s.life","Smart"
55,"+63946****498","97509420-54f4-39e6-9c93-d3ead96199a6","2022-12-22 05:18:59.637","Happy Thursday LODI at Merry Xmas sayo! Maraming papremyo ang naghihintayo sayo dito! Register now and get your free golden egg! breakingnewsmanila.com/Game","TNT"
56,"+63960****259","318a7ee4-0d76-3167-9207-312089fe6342","2022-12-24 11:23:12.971","k.  Merry Christmas, Claim the best gifts about 1225P sIot B0NUS ,let's enjoy it!
Web: will-f.life","Smart"
57,"+63985****526","e339b623-e1e5-3843-b8a9-a09cf1af7c86","2022-12-24 11:42:36.698","Dear Beneficiary, We called you but out of service area Contact the Admin office to claim an entitlement in your name it's important Email:Clariereymond@gmail.com","Smart/TNT"
58,"+63985****706","8b5f2e76-6ffd-3e31-8e6e-4508091a430b","2022-12-24 16:30:51.062","<REAL NAME> ,Congratulations on getting the JACKPOTCITY VIP bonus and promotion!

Sign up now and get 20P and 5000CASH for free! jackpotcity888.com","Smart/TNT"
59,"+63920****289","c66a4c17-c718-377f-aec8-97b3c3aedcf5","2022-12-24 17:56:53.265","<REAL NAME>, Merry Christmas SBET Members! Claim your christmas bonus now, upto P5,000! Register now and get 1% deposit bonus on gcash sbetfifa.com","Smart"
60,"+63985****140","94342945-db11-3404-9737-f6028b78005d","2022-12-25 20:06:25.443","<REAL NAME> ,Congratulations on getting the JACKPOTCITY VIP bonus and promotion!

Sign up now and get 20P and 5000CASH for free! jackpotcityph.com","Smart/TNT"
61,"+63960****809","c4053e7c-a06a-36ee-b044-8879dfad13ab","2022-12-26 02:45:28.536","s! Claim the BARAHA B0NUS 2023P! Big events only for celebrate the 2023 new year!
web: pinasc.life","Smart"
62,"+63951****306","038209b5-cdf2-3fae-9c79-c7ff717d0adb","2022-12-26 12:17:14.984","Halika at tumanggap ng 50MBG spree nang libre!.Google play or APP store search for mybitglobal to download apps","Smart"
63,"+63985****090","9ccc98fa-1278-3f0c-8bdb-d8f21c44b4d7","2022-12-28 04:15:10.771","[2M+ Jackpot Prize] Sign up and get free P28 bonus! Get now http://betcenter.live/800 Slot machine battle -- get lucky P30,000 bonus everyday!","Smart/TNT"
64,"+63949****757","95c46321-f9af-3e3a-a709-096c4b00c8a3","2022-12-29 03:58:12.738","d! Claim the BARAHA B0NUS 2023P! Big events only for celebrate the 2023 new year!
web: baraha-b.site","Smart"
65,"+63985****585","a2cceb13-dbd8-39c0-b437-b425cdc73a69","2022-12-29 23:06:27.150","<REAL NAME>, jackpot city REWARD CLUB! be our vip members and win more. 

Sign up now and get 20P and 5000CASH jackpotcity20bonu.com
","Smart/TNT"
66,"+63930****844","894b16a8-74d8-36a3-b499-d485fc9a039e","2022-12-30 03:57:56.107","<<Content not supported.>>","TNT"
67,"+63950****422","b91a6e8e-b258-3c5b-9a39-a089da2a60a2","2022-12-31 22:45:48.063","<REAL NAME>, Come and get your Welcome bonus up to 2,000 PHP! And more prizes here only on T1Bet! Register and log in your account now! t1bet6ph.com","TNT"
68,"+63985****294","30f579b5-f1c4-3857-8d29-5ddeb4ce7dac","2023-01-06 00:23:46.789","<REAL NAME>, Everyday is Lucky here W+! Earn more than Php400 up to .5% weekly commission rate! Click our website! winplusrich.com","Smart/TNT"
69,"+63985****913","efa9464f-eff1-3c46-8611-3e2058a658cc","2023-01-07 21:17:48.087","<REAL NAME>, Be the Lucky player at T1bet! 50% Casino Reload Bonus up to 1,000php! Sign up to Play now! t1betrich.com","Smart/TNT"
70,"+63985****491","72ba0550-5e79-3546-b21f-487500c09ab4","2023-01-08 23:44:05.211","<REAL NAME>, Don't hesitate to register in our site and win more prizes and win new Iphone 14PROMAX! Sign up nØw here at JACKPOT CITY! jackpotcityph.info","Smart/TNT"
71,"+63951****900","e05717c8-a4fd-35f5-8f56-89e98c497372","2023-01-09 11:47:46.700","<REAL NAME>, Tongits go is now available here at SBET! Play and win a Brandnew Iphone14 Pro (256)gb and more! Click here!sbetphwin.com"")","Smart"
72,"+63985****865","0f950b6d-9e3b-34c1-b8d5-36b328e68eaa","2023-01-10 18:33:06.028","<REAL NAME>, The popular Online Casino is in here at  W+! Bet now and win more plus win an Iphone 14PRO! winpluspromo.com","Smart/TNT"
73,"+63948****899","f04be1b2-3faf-3ec0-84b1-f7f82306213e","2023-01-12 11:57:16.804","JILI FC Free Gift 188 peso! Google ""boom188org"" and claim now er","TNT"
74,"+63985****269","12bb9c9d-ad4a-3727-ac68-2156d1c493c3","2023-01-14 19:39:40.415","<REAL NAME>, JACKPOT CITY has the best gaming experience and stable servers for our customers! 

Sign up now and enjoy free sign up bonuses and more! Play JILI SLOT GAME now and win double the amount! jackpotcitypromo.com","Smart/TNT"
75,"+63968****904","1dbb786b-2c43-382b-a3c1-87b0f3c017f1","2023-01-15 16:12:51.621","Licensed By Pagcor mLive77 Casino Register Claim 100% Welcome Bonus & Double WIN JILI Slot(Limit Time) FREE Register mon15.com","Smart"
76,"+63985****570","93bf15ec-85ca-3183-a8ef-e6cbdd43bcfe","2023-01-15 18:13:42.783","jackpot! Ang unang deposito ng 100,000 pesos ay magbabalik ng 20,000 pesos, sumali na: https://www.777pub.pub/?agentid=10007604","Smart/TNT"
77,"+63985****951","2659e6dd-9865-314c-bb6f-21a18d7f9e3a","2023-01-19 09:43:31.642","<REAL NAME>, Dito wala kang talo! Maglaro na at manalo ng iPhone 14PRO MAX at 80,000P o higit pa

Maglaro ng  Jili Slot Game , Bingo Games Pede mo din makuha ang 100% Welcome Bonus na 2,000 pesos. Maglaro na ! jackpotcity20bonus.com ","Smart/TNT"
78,"+63969****424","59a7b025-1226-3868-bff8-659ddd80eada","2023-01-27 12:52:38.708","Binabati kita! Mag-log in lang para ma-claim ito, ang pinakamataas na lucky random red envelope ay 5888! http://asias.poker","Smart"
79,"+63985****493","efb3a65c-5c28-37ac-836a-4733e3e08904","2023-01-28 00:55:06.890","<REAL NAME>, Jackpotcity is fantastic site usability and you recieve welcome offers upt to 50% daily bonus click here! and register now @ jackpotcitybets.com","Smart/TNT"
80,"+63985****743","5295bd80-a18e-3164-be13-71608c85129f","2023-01-29 00:11:57.856","Good News! <REAL NAME>, Get UNLIMITED REBATE anytime in JILI only here at SBET! Click and Register here @ sbetfreedraw.com","Smart/TNT"
81,"+63909****281","1767a6ea-ad5b-386a-b952-a46bf2d85b9c","2023-01-29 03:42:24.041","<REAL NAME>, Let's WINE UP! Deposit daily and WIN BIG PRIZES up to PHP8,888 only here at JACKPOTCITY! Click and Register now @ jackpotcityfree.com","TNT"
82,"+63907****246","b6c6158e-adb6-3707-b964-674805817d68","2023-01-31 15:35:07.453","<REAL NAME>, JACKPOTCITY offers the most reliable and well-liked gaming platform, so play and win there!

Become a member right away to get up to 80,000 cash prizes & more ! 

Sign-in now jackpotcitywinrich.com","TNT"
83,"+63909****201","80400c46-3d62-32bb-be5d-964e894c3a42","2023-02-03 08:40:32.102","Legit 0NLINE CASIN0 ba ang hanap mo? Dito kana sa pinakamalupet at Nakakarelax Relax na showbiztoday.net/LiveApp Register now and WlN up to 2.7m, Let Go!!","TNT"
84,"+63985****575","8abafe56-8355-3403-ac65-567a7b9d8dc4","2023-02-03 13:32:54.605","<REAL NAME>, Get more than you were looking for at JACKPOTCITY The #1's BEST ONLINE GAMING! up to P1000 CASH BACK! Register now: jackpotcitybetwin.com","Smart/TNT"
85,"+63985****267","f4af2fce-9ec4-338c-9a1d-c67b3925dd9f","2023-02-05 22:06:11.550","<REAL NAME>, Make an account now and get 100% welcome bonus of 2,000 plus win amazing prizes this Valentine's Love Draw at JACKPOTCITY ! 

visit and join us jackpotcitywincash.com","Smart/TNT"
86,"+63909****776","a56d795c-5bcd-3284-a54c-ac9ac87d7d99","2023-02-08 09:22:19.912","<REAL NAME>, DS88 Cockfighting is also available here in SBET, play here to win more prizes! Visit now and enjoy; sbetmanalo.com","TNT"
87,"+63950****090","5d279580-a52a-330c-9306-34abbb5bc76b","2023-02-11 16:01:21.885","<REAL NAME>, Come Play & WIN in JACKPOTCITY! 

Make sure to sign up & get unlimited Daily Rebate up to .6% and play to earn money ! 

click here  jackpotcityrichs.com","TNT"
88,"+63938****175","fb2562a3-09d3-3c4a-8b1f-f26b76cd15df","2023-02-19 21:54:18.046","Hi <REAL NAME>, You're invited at W+ Event!

Come & join to win HONDA CBR150R, + visit our VIP REWARD PLAN ! click now wpdito11.com","TNT"
89,"+63930****256","e9005684-3697-3645-a6ad-3c097a5eae71","2023-02-20 23:36:12.862","Great day <REAL NAME>, you have FREE 1000 here UNIBET !

Refer Now To Get 30% Profit & 1000 Bonus From your Referral ! unibetnow.com","TNT"
90,"+63969****839","b6b77cec-52bb-35b2-93e0-9a6b19528d7d","2023-02-22 21:55:23.267","Hi <REAL NAME>, SBET invites you to join Wagering Tournament !

Win a YAMAHA NMAX ABS 2022 or LOUIS VUITTON & more ! 

join now sbetwinph.com","Smart"
91,"+63930****272","57c93b75-e07c-3a21-91dc-be22752842d4","2023-02-23 11:54:15.585","Good day <REAL NAME>, you have FREE 1000 here UNIBET!

Refer Now To Get 30% Profit & 1000 Bonus From your Referral! unibetnow0.com","TNT"
92,"+63948****377","fc4c817f-1f61-31fb-b86c-05b5df11430b","2023-02-25 04:37:10.445","<REAL NAME>, JackpotCity gives you 10% Daily Cashback Up to Php1,000! Play live casino and slots! Join now jackpotcityph7.com","TNT"
93,"+63910****303","62c37178-d615-3614-b649-51d563143c70","2023-02-25 07:34:24.077","<REAL NAME>, You have P2000 when you Register and make your 1st Deposit. Sign  up now here at buobetpromo.com","TNT"
94,"+63970****315","7a6578ea-4829-3b5e-88bd-5892ba91f73d","2023-02-25 08:53:22.586","Get 2888 ₱ for free. Click; https://xt5746.com
","Smart"
95,"+63912****129","39033b9c-d396-3a4b-a549-52c5cee21982","2023-02-25 09:51:46.598","<REAL NAME>, Sign up now! & join Tournament to Win NMAX ABS V2022. Deposit now to avail 1.5% daily rebate. sbetbetsph.com","TNT"
96,"+63909****323","bb0110e8-cdbd-3f01-81b4-4163b853a2ba","2023-02-25 23:03:30.236","<REAL NAME>, Get 50% daily deposit bonus! Earn 1000 daily & Win prizes at W+, Click now to claim Free20! wplushello.com","TNT"
97,"+63946****023","941acba6-904f-3d40-9417-675a594ac302","2023-02-26 18:36:53.986","<REAL NAME>, Register & Become the next Winner! Join WinningPlus Event now Win upto 159,900 & Win more ! Sign up wplusph.com","TNT"
98,"+63951****385","5a599b1a-67d8-3aca-af52-881d15b9ce46","2023-03-01 12:23:16.486","GCASH Advisory: Your account is temporarily on-hold, due to security purposes. Kindly verify here https://iplogger.org/GCASHVerification","Smart"
99,"+63985****579","2154b20d-029f-37e5-88e1-2ccb91d0d88c","2023-03-01 23:53:39.806","<REAL NAME>, Get 100% DEPOSIT BONUS on Jackpot City! Register now and get FREE MONEY! jackpotcityph10.com","Smart/TNT"
100,"+63981****088","37645ff9-8a02-3ffa-8cf8-768539024f4b","2023-03-02 11:35:40.307","<REAL NAME>, Play with friends and EARN MORE THAN PHP250! Referral BONUS only for you & your close. Click now wpluswow.com","Smart"
101,"+63909****333","293ca21b-8b8b-38b0-b91b-042694958729","2023-03-03 06:20:12.841","Hello, new free money bonus 388 with no deposit condition, please login https://gd6416.com/?a=46956  to get free money 388 now","TNT"
102,"+63985****437","7d9f0757-dff5-3e93-933d-d9ee1ff9817f","2023-03-03 17:57:32.195","You have a lucky Phone number <REAL NAME>! You GET GCASH BONUS here at SBET! Click here to claim! sbetnow2.com","Smart/TNT"
103,"+63910****122","5d3a5ae7-e23a-3095-807b-9329e9641d1b","2023-03-04 03:49:34.871","<REAL NAME>, Enjoy LOTTERY GAMES and WIN money on Jackpot City! Sign up now and make your first deposit! jackpotcityfreecash.com","TNT"
104,"+63909****911","152c4ad3-c18c-382d-95e9-63ea2f496322","2023-03-05 08:50:59.387","Hello, 500 to 500 p to you click; https://www.yge8gh.com to get free money 500 now","TNT"
105,"+63985****250","082fdee5-78ef-3f2b-964a-981bb9528939","2023-03-06 06:27:35.797","<REAL NAME>, Lucky Monday! Play slots & fishing, Get 50% Daily Deposit Bonus up to Php1,000 ! Sign-up today winningplusph.com","Smart/TNT"
106,"+63960****330","f285f77c-1c6e-328d-a01a-9f5459024b64","2023-03-06 10:57:21.832","ikaw ba ay mahilig maglaro sa phone? Kumita ng 3K PESOS hanggang 100K ARAW-ARAW!
Maglaro ng Legit Casino Games! Mag-register na sa ""http://mon21.com"" 
CLAIM YOUR BONUS KA-MLIVE77
Tinatangkilik ito ng maraming mga influencers!","Smart"
107,"+63985****671","57a3e300-06df-34bf-a256-bd12f28d8252","2023-03-08 04:06:01.043","[GCASH. BET] P1 win P126,821? Come to claim your luck http://gaming0063.quest/nOf P100 Get P100, P200 Get P200, P300 Get P300 ... 100k Get 100k!!!","Smart/TNT"
108,"+63985****242","4852924a-bdae-3473-84d3-52986cfa7c41","2023-03-08 13:07:25.345","Hello, new free money bonus 550 with no deposit condition, please login https://os5524.com/ to get free money 550 ! first come first served!!","Smart/TNT"
109,"+63985****361","777a5711-1283-3530-8ae4-fd2641ec0301","2023-03-08 22:32:39.168","<REAL NAME>, Celebrate International Women's Day with W+! Receive a FREE PHP20 gift! Don't miss out! surewinph0.com
","Smart/TNT"
110,"+63981****124","c6bc9328-e31f-3391-963d-7419748cacf5","2023-03-09 20:24:57.250","Hey <REAL NAME>, what's up? Get FREE SPIN at W+ when you log in today! Start winning big! surewinph1.com
","Smart"
111,"+63981****434","8dcfebe6-0ea5-3a37-91b6-8585112a7dad","2023-03-09 20:57:41.325"," Join BETFIL new platform <REAL NAME>! Win a BMW X5(₱4.89 Million) or Yamaha NMAX(₱150,000)! betfilbonu1.com","Smart"
112,"+63999****407","a77f28d6-b42a-3662-95a9-377de94c0169","2023-03-10 02:38:51.681","Dont be a stranger  you mean the world to us   GET your bonus  up to 3000P https://fils.win","Smart"
113,"+63949****616","3768d4e8-4bd9-3ffb-9034-124d7911eb79","2023-03-10 05:31:11.677","Dont be a stranger  you mean the world to us   GET your bonus  up to 3000P 09995281393","Smart"
114,"+63938****665","d4416ed0-0d51-3300-a208-7326cfe6705c","2023-03-11 01:05:10.292","Hello, no deposit, free 1989 P bonus, please login   https://kaa9867.com","TNT"
